post_id,creator_id,creator_location,creator_connections,creator_topic_interests,creator_format_preferences,creator_creator_preferences,creator_expertise_levels,content,timestamp,likes,comments,shares,avg_time_spent,topics,content_format,content_length,location,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound
p020,u120,"(19.2183,72.9781)","['u118', 'u122']","{'sports': 0.8, 'cricket': 0.9}","{'video': 0.8, 'text': 0.6}","{'u118': 0.8, 'u122': 0.7}","{'cricket': 0.9, 'sports': 0.8}","""Match highlights from today's game""",5/24/2025 22:30,203.0,45.0,38.0,28.7,"['sports', 'cricket', 'highlights']",video,240.0,"(19.2183,72.9781)",0.85,0.03,0.12,0.81
p021,u121,"(16.5062,80.6480)","['u119', 'u123']","{'meditation': 0.9, 'wellness': 0.8}","{'audio': 0.8, 'text': 0.7}","{'u119': 0.9, 'u123': 0.6}","{'meditation': 0.8, 'wellness': 0.7}","""5-minute morning meditation guide""",5/23/2025 6:30,74.0,16.0,8.0,22.1,"['meditation', 'wellness', 'morning']",audio,300.0,"(16.5062,80.6480)",0.87,0.01,0.12,0.84
p022,u122,"(24.5854,73.7125)","['u120', 'u124']","{'art': 0.9, 'painting': 0.8}","{'image': 0.9, 'video': 0.6}","{'u120': 0.6, 'u124': 0.8}","{'painting': 0.9, 'art': 0.8}","""Watercolor landscape painting process""",5/22/2025 16:45,91.0,19.0,14.0,26.8,"['art', 'painting', 'watercolor']",image,220.0,"(24.5854,73.7125)",0.79,0.02,0.19,0.76
p023,u123,"(10.8505,76.2711)","['u121', 'u125']","{'language': 0.8, 'learning': 0.9}","{'text': 0.8, 'audio': 0.7}","{'u121': 0.7, 'u125': 0.8}","{'language': 0.8, 'learning': 0.9}","""Learning Spanish: Day 30 progress update""",5/25/2025 13:15,52.0,11.0,6.0,17.3,"['language', 'spanish', 'learning']",text,260.0,"(10.8505,76.2711)",0.81,0.03,0.16,0.77
p024,u124,"(30.7333,76.7794)","['u122', 'u126']","{'architecture': 0.8, 'design': 0.9}","{'image': 0.9, 'text': 0.6}","{'u122': 0.8, 'u126': 0.7}","{'design': 0.9, 'architecture': 0.8}","""Modern building design inspiration""",5/24/2025 15:00,68.0,13.0,9.0,21.5,"['architecture', 'design', 'modern']",image,180.0,"(30.7333,76.7794)",0.73,0.04,0.23,0.68
p025,u125,"(22.3072,73.1812)","['u123', 'u127']","{'diy': 0.9, 'crafts': 0.8}","{'video': 0.9, 'image': 0.7}","{'u123': 0.8, 'u127': 0.9}","{'crafts': 0.8, 'diy': 0.9}","""DIY home decor on a budget""",5/23/2025 11:30,127.0,33.0,24.0,41.2,"['diy', 'crafts', 'homedecor']",video,390.0,"(22.3072,73.1812)",0.76,0.03,0.21,0.72
p026,u126,"(8.5241,76.9366)","['u124', 'u128']","{'environment': 0.9, 'sustainability': 0.8}","{'text': 0.8, 'image': 0.7}","{'u124': 0.7, 'u128': 0.8}","{'environment': 0.9, 'sustainability': 0.8}","""Simple ways to reduce plastic waste""",5/22/2025 9:20,85.0,21.0,16.0,29.4,"['environment', 'sustainability', 'plastic']",text,320.0,"(8.5241,76.9366)",0.69,0.09,0.22,0.59
p027,u127,"(18.1096,83.3770)","['u125', 'u129']","{'parenting': 0.8, 'family': 0.9}","{'image': 0.7, 'text': 0.8}","{'u125': 0.9, 'u129': 0.6}","{'parenting': 0.8, 'family': 0.9}","""Family weekend activities that don't break bank""",5/25/2025 10:45,96.0,27.0,18.0,24.6,"['parenting', 'family', 'weekend']",text,290.0,"(18.1096,83.3770)",0.78,0.04,0.18,0.73
p028,u128,"(26.2389,73.0243)","['u126', 'u130']","{'automotive': 0.8, 'cars': 0.9}","{'video': 0.8, 'image': 0.7}","{'u126': 0.6, 'u130': 0.8}","{'cars': 0.9, 'automotive': 0.8}","""Electric vehicle maintenance tips""",5/24/2025 14:15,73.0,18.0,12.0,23.7,"['automotive', 'electric', 'cars']",video,340.0,"(26.2389,73.0243)",0.71,0.05,0.24,0.65
p029,u129,"(13.3409,74.7421)","['u127', 'u131']","{'mental_health': 0.9, 'psychology': 0.7}","{'text': 0.9, 'audio': 0.6}","{'u127': 0.8, 'u131': 0.7}","{'psychology': 0.8, 'mental_health': 0.9}","""Dealing with anxiety: personal journey""",5/23/2025 20:30,134.0,42.0,19.0,52.8,"['mentalhealth', 'anxiety', 'personal']",text,420.0,"(13.3409,74.7421)",0.58,0.15,0.27,0.42
p030,u130,"(28.4595,77.0266)","['u128', 'u132']","{'finance': 0.8, 'investment': 0.9}","{'text': 0.8, 'video': 0.6}","{'u128': 0.7, 'u132': 0.8}","{'investment': 0.9, 'finance': 0.8}","""Beginner's guide to mutual funds""",5/22/2025 12:00,107.0,29.0,23.0,38.9,"['finance', 'investment', 'mutualfunds']",text,410.0,"(28.4595,77.0266)",0.75,0.06,0.19,0.68
p031,u131,"(9.9252,78.1198)","['u129', 'u133']","{'volunteering': 0.9, 'community': 0.8}","{'image': 0.7, 'text': 0.8}","{'u129': 0.8, 'u133': 0.9}","{'community': 0.8, 'volunteering': 0.9}","""Beach cleanup drive was amazing!""",5/25/2025 18:45,89.0,16.0,13.0,19.2,"['volunteering', 'beach', 'cleanup']",image,170.0,"(9.9252,78.1198)",0.86,0.02,0.12,0.83
p032,u132,"(25.3176,82.9739)","['u130', 'u134']","{'wine': 0.8, 'culinary': 0.7}","{'image': 0.8, 'video': 0.6}","{'u130': 0.7, 'u134': 0.8}","{'wine': 0.8, 'culinary': 0.6}","""Wine tasting notes from Tuscany region""",5/24/2025 19:30,64.0,12.0,8.0,16.4,"['wine', 'tasting', 'tuscany']",image,210.0,"(25.3176,82.9739)",0.72,0.03,0.25,0.68
p033,u133,"(31.1048,77.1734)","['u131', 'u135']","{'hiking': 0.9, 'adventure': 0.8}","{'image': 0.9, 'video': 0.7}","{'u131': 0.9, 'u135': 0.6}","{'hiking': 0.9, 'adventure': 0.7}","""Himalayan trek: Day 3 summit attempt""",5/23/2025 7:15,178.0,35.0,28.0,31.6,"['hiking', 'himalaya', 'adventure']",image,160.0,"(31.1048,77.1734)",0.84,0.04,0.12,0.79
p034,u134,"(17.6868,83.2185)","['u132', 'u136']","{'astrology': 0.7, 'spirituality': 0.8}","{'text': 0.8, 'image': 0.6}","{'u132': 0.6, 'u136': 0.8}","{'astrology': 0.7, 'spirituality': 0.8}","""Mercury retrograde effects and remedies""",5/22/2025 18:20,71.0,24.0,9.0,27.3,"['astrology', 'mercury', 'retrograde']",text,300.0,"(17.6868,83.2185)",0.62,0.12,0.26,0.49
p035,u135,"(23.8103,86.4420)","['u133', 'u137']","{'productivity': 0.8, 'work': 0.7}","{'text': 0.9, 'video': 0.5}","{'u133': 0.7, 'u137': 0.8}","{'productivity': 0.8, 'work': 0.7}","""Time management hacks that actually work""",5/25/2025 12:30,115.0,31.0,26.0,43.7,"['productivity', 'timemanagement', 'work']",text,370.0,"(23.8103,86.4420)",0.79,0.04,0.17,0.74
post_id,creator_id,creator_location,[],{},{},{},{},content,timestamp,,,,,[],content_format,,location,,,,
p036,u138,"(19.0760,72.8777)","['u139', 'u140']","{'coding': 0.9, 'technology': 0.8}","{'text': 0.8, 'video': 0.7}","{'u139': 0.8, 'u140': 0.6}","{'coding': 0.9, 'technology': 0.7}","""Python automation script saves hours daily""",5/25/2025 11:15,142.0,38.0,29.0,47.2,"['coding', 'python', 'automation']",text,340.0,"(19.0760,72.8777)",0.82,0.03,0.15,0.78
p037,u139,"(12.9716,77.5946)","['u138', 'u141']","{'baking': 0.8, 'desserts': 0.9}","{'image': 0.9, 'video': 0.8}","{'u138': 0.7, 'u141': 0.9}","{'baking': 0.8, 'desserts': 0.9}","""Chocolate soufflé recipe perfected!""",5/24/2025 16:20,98.0,22.0,17.0,24.8,"['baking', 'chocolate', 'dessert']",image,190.0,"(12.9716,77.5946)",0.88,0.01,0.11,0.85
p038,u140,"(22.7196,75.8577)","['u138', 'u142']","{'journalism': 0.8, 'news': 0.7}","{'text': 0.9, 'audio': 0.6}","{'u138': 0.6, 'u142': 0.8}","{'journalism': 0.9, 'news': 0.8}","""Local elections coverage and analysis""",5/23/2025 13:45,76.0,31.0,14.0,39.1,"['journalism', 'politics', 'elections']",text,480.0,"(22.7196,75.8577)",0.64,0.11,0.25,0.52
p039,u141,"(15.8281,74.4980)","['u139', 'u143']","{'pottery': 0.9, 'ceramics': 0.8}","{'video': 0.8, 'image': 0.9}","{'u139': 0.9, 'u143': 0.5}","{'pottery': 0.9, 'ceramics': 0.7}","""Wheel throwing technique demonstration""",5/22/2025 10:30,87.0,19.0,12.0,28.3,"['pottery', 'ceramics', 'craft']",video,360.0,"(15.8281,74.4980)",0.75,0.04,0.21,0.7
p040,u142,"(26.8467,80.9462)","['u140', 'u144']","{'chess': 0.9, 'strategy': 0.8}","{'video': 0.7, 'text': 0.8}","{'u140': 0.8, 'u144': 0.7}","{'chess': 0.9, 'strategy': 0.8}","""Grandmaster game analysis: Sicilian Defense""",5/25/2025 19:00,63.0,27.0,9.0,41.5,"['chess', 'strategy', 'analysis']",video,420.0,"(26.8467,80.9462)",0.77,0.05,0.18,0.71
p041,u143,"(11.2588,75.7804)","['u141', 'u145']","{'yoga': 0.8, 'mindfulness': 0.9}","{'video': 0.8, 'audio': 0.9}","{'u141': 0.6, 'u145': 0.8}","{'yoga': 0.8, 'mindfulness': 0.9}","""Evening wind-down yoga sequence""",5/24/2025 20:45,104.0,18.0,13.0,26.7,"['yoga', 'mindfulness', 'evening']",video,300.0,"(11.2588,75.7804)",0.84,0.02,0.14,0.81
p042,u144,"(20.2961,85.8245)","['u142', 'u146']","{'marine_biology': 0.9, 'ocean': 0.8}","{'image': 0.8, 'text': 0.8}","{'u142': 0.7, 'u146': 0.8}","{'marine_biology': 0.9, 'ocean': 0.7}","""Deep sea creatures discovery expedition""",5/23/2025 8:20,156.0,41.0,32.0,48.9,"['marine', 'biology', 'ocean']",image,380.0,"(20.2961,85.8245)",0.8,0.03,0.17,0.76
p043,u145,"(28.7041,77.1025)","['u143', 'u147']","{'interior_design': 0.8, 'home': 0.9}","{'image': 0.9, 'video': 0.6}","{'u143': 0.8, 'u147': 0.7}","{'interior_design': 0.8, 'home': 0.9}","""Small space organization makeover""",5/22/2025 15:10,129.0,24.0,21.0,33.4,"['interior', 'design', 'organization']",image,220.0,"(28.7041,77.1025)",0.81,0.02,0.17,0.78
p044,u146,"(13.6288,79.4192)","['u144', 'u148']","{'drumming': 0.9, 'music': 0.7}","{'video': 0.9, 'audio': 0.8}","{'u144': 0.8, 'u148': 0.6}","{'drumming': 0.9, 'music': 0.6}","""Complex polyrhythm breakdown tutorial""",5/25/2025 14:30,91.0,16.0,11.0,22.6,"['drumming', 'music', 'tutorial']",video,280.0,"(13.6288,79.4192)",0.78,0.04,0.18,0.73
p045,u147,"(24.8607,67.0011)","['u145', 'u149']","{'calligraphy': 0.8, 'art': 0.7}","{'image': 0.9, 'video': 0.7}","{'u145': 0.7, 'u149': 0.8}","{'calligraphy': 0.8, 'art': 0.6}","""Arabic calligraphy practice session""",5/24/2025 11:00,72.0,14.0,8.0,19.7,"['calligraphy', 'arabic', 'art']",image,160.0,"(24.8607,67.0011)",0.76,0.03,0.21,0.72
p046,u148,"(17.4065,78.4772)","['u146', 'u150']","{'skincare': 0.9, 'beauty': 0.8}","{'video': 0.8, 'image': 0.8}","{'u146': 0.6, 'u150': 0.9}","{'skincare': 0.9, 'beauty': 0.7}","""Natural skincare routine for sensitive skin""",5/23/2025 17:30,118.0,29.0,22.0,31.8,"['skincare', 'beauty', 'natural']",video,320.0,"(17.4065,78.4772)",0.83,0.02,0.15,0.8
p047,u149,"(21.2787,81.8661)","['u147', 'u151']","{'economics': 0.8, 'finance': 0.7}","{'text': 0.9, 'video': 0.5}","{'u147': 0.8, 'u151': 0.6}","{'economics': 0.8, 'finance': 0.7}","""Inflation impact on middle-class families""",5/22/2025 13:20,94.0,37.0,19.0,44.3,"['economics', 'inflation', 'finance']",text,450.0,"(21.2787,81.8661)",0.61,0.14,0.25,0.46
p048,u150,"(16.3067,80.4365)","['u148', 'u152']","{'knitting': 0.9, 'crafts': 0.8}","{'image': 0.8, 'video': 0.9}","{'u148': 0.9, 'u152': 0.5}","{'knitting': 0.9, 'crafts': 0.7}","""Cable knit sweater pattern walkthrough""",5/25/2025 9:45,67.0,13.0,9.0,25.1,"['knitting', 'crafts', 'pattern']",video,380.0,"(16.3067,80.4365)",0.79,0.03,0.18,0.75
p049,u151,"(29.3117,79.5240)","['u149', 'u153']","{'meteorology': 0.8, 'weather': 0.9}","{'image': 0.7, 'text': 0.8}","{'u149': 0.6, 'u153': 0.8}","{'meteorology': 0.8, 'weather': 0.9}","""Monsoon prediction models explained""",5/24/2025 7:15,83.0,21.0,15.0,35.6,"['weather', 'monsoon', 'science']",text,360.0,"(29.3117,79.5240)",0.73,0.06,0.21,0.66
p050,u152,"(14.4426,75.9375)","['u150', 'u154']","{'woodworking': 0.9, 'furniture': 0.8}","{'video': 0.9, 'image': 0.8}","{'u150': 0.7, 'u154': 0.8}","{'woodworking': 0.9, 'furniture': 0.8}","""Handcrafted dining table build process""",5/23/2025 12:40,145.0,32.0,26.0,42.7,"['woodworking', 'furniture', 'handmade']",video,480.0,"(14.4426,75.9375)",0.85,0.02,0.13,0.82
p051,u153,"(18.9388,72.8349)","['u151', 'u155']","{'cryptocurrency': 0.8, 'blockchain': 0.9}","{'text': 0.8, 'video': 0.6}","{'u151': 0.8, 'u155': 0.7}","{'blockchain': 0.9, 'cryptocurrency': 0.8}","""DeFi protocols risk assessment guide""",5/22/2025 16:50,127.0,43.0,31.0,51.2,"['crypto', 'blockchain', 'defi']",text,420.0,"(18.9388,72.8349)",0.68,0.08,0.24,0.59
p052,u154,"(25.5788,91.8826)","['u152', 'u156']","{'tea': 0.9, 'culture': 0.8}","{'image': 0.8, 'text': 0.7}","{'u152': 0.8, 'u156': 0.6}","{'tea': 0.9, 'culture': 0.7}","""Traditional Darjeeling tea tasting notes""",5/25/2025 15:20,89.0,17.0,12.0,21.4,"['tea', 'darjeeling', 'culture']",image,240.0,"(25.5788,91.8826)",0.81,0.02,0.17,0.78
p053,u155,"(12.8406,74.8418)","['u153', 'u157']","{'sailing': 0.8, 'water_sports': 0.9}","{'video': 0.8, 'image': 0.9}","{'u153': 0.7, 'u157': 0.8}","{'sailing': 0.8, 'water_sports': 0.9}","""Coastal sailing adventure in rough seas""",5/24/2025 13:35,112.0,24.0,18.0,29.3,"['sailing', 'adventure', 'ocean']",video,300.0,"(12.8406,74.8418)",0.79,0.05,0.16,0.73
p054,u156,"(23.5937,87.2847)","['u154', 'u158']","{'botany': 0.9, 'plants': 0.8}","{'image': 0.9, 'text': 0.7}","{'u154': 0.6, 'u158': 0.9}","{'botany': 0.9, 'plants': 0.8}","""Rare orchid species conservation efforts""",5/23/2025 10:15,76.0,19.0,11.0,33.7,"['botany', 'orchid', 'conservation']",image,290.0,"(23.5937,87.2847)",0.74,0.04,0.22,0.69
p055,u157,"(27.9506,78.6569)","['u155', 'u159']","{'robotics': 0.9, 'engineering': 0.8}","{'video': 0.8, 'text': 0.7}","{'u155': 0.8, 'u159': 0.6}","{'robotics': 0.9, 'engineering': 0.8}","""AI robot learns to paint landscapes""",5/22/2025 11:45,198.0,56.0,41.0,54.8,"['robotics', 'ai', 'painting']",video,360.0,"(27.9506,78.6569)",0.86,0.02,0.12,0.83
p056,u158,"(15.4989,73.8278)","['u156', 'u160']","{'comics': 0.8, 'illustration': 0.9}","{'image': 0.9, 'video': 0.6}","{'u156': 0.9, 'u160': 0.5}","{'illustration': 0.9, 'comics': 0.8}","""Character design process for new comic""",5/25/2025 12:10,134.0,28.0,23.0,37.2,"['comics', 'illustration', 'character']",image,200.0,"(15.4989,73.8278)",0.82,0.03,0.15,0.78
p057,u159,"(19.8762,75.3433)","['u157', 'u161']","{'linguistics': 0.8, 'languages': 0.9}","{'text': 0.9, 'audio': 0.7}","{'u157': 0.6, 'u161': 0.8}","{'linguistics': 0.8, 'languages': 0.9}","""Sanskrit influence on modern Indian languages""",5/24/2025 9:30,71.0,26.0,13.0,38.9,"['linguistics', 'sanskrit', 'languages']",text,410.0,"(19.8762,75.3433)",0.76,0.04,0.2,0.71
p058,u160,"(30.9010,75.8573)","['u158', 'u162']","{'astronomy': 0.9, 'space': 0.8}","{'image': 0.8, 'video': 0.7}","{'u158': 0.7, 'u162': 0.8}","{'astronomy': 0.9, 'space': 0.8}","""Jupiter's moons through amateur telescope""",5/23/2025 21:20,167.0,39.0,31.0,43.1,"['astronomy', 'jupiter', 'telescope']",image,270.0,"(30.9010,75.8573)",0.87,0.01,0.12,0.85
p059,u161,"(11.0781,76.0760)","['u159', 'u163']","{'therapy': 0.8, 'mental_health': 0.9}","{'text': 0.9, 'audio': 0.8}","{'u159': 0.8, 'u163': 0.7}","{'therapy': 0.8, 'mental_health': 0.9}","""Art therapy benefits for trauma recovery""",5/22/2025 14:25,102.0,34.0,16.0,46.3,"['therapy', 'art', 'mentalhealth']",text,380.0,"(11.0781,76.0760)",0.71,0.07,0.22,0.63
p060,u162,"(26.4499,74.6399)","['u160', 'u164']","{'beekeeping': 0.9, 'honey': 0.8}","{'video': 0.8, 'image': 0.8}","{'u160': 0.8, 'u164': 0.6}","{'beekeeping': 0.9, 'honey': 0.7}","""Sustainable beekeeping practices guide""",5/25/2025 8:40,95.0,20.0,14.0,27.5,"['beekeeping', 'honey', 'sustainable']",video,340.0,"(26.4499,74.6399)",0.78,0.03,0.19,0.74
p061,u163,"(17.7231,83.3008)","['u161', 'u165']","{'archaeology': 0.8, 'history': 0.9}","{'image': 0.8, 'text': 0.8}","{'u161': 0.7, 'u165': 0.8}","{'archaeology': 0.8, 'history': 0.9}","""Ancient temple excavation reveals secrets""",5/24/2025 10:55,123.0,41.0,27.0,49.6,"['archaeology', 'temple', 'ancient']",image,350.0,"(17.7231,83.3008)",0.83,0.02,0.15,0.8
p062,u164,"(22.9734,88.4636)","['u162', 'u166']","{'origami': 0.9, 'paper_art': 0.8}","{'video': 0.9, 'image': 0.8}","{'u162': 0.6, 'u166': 0.9}","{'origami': 0.9, 'paper_art': 0.8}","""Complex dragon origami folding tutorial""",5/23/2025 16:15,88.0,15.0,10.0,24.2,"['origami', 'dragon', 'tutorial']",video,420.0,"(22.9734,88.4636)",0.8,0.03,0.17,0.76
p063,u165,"(13.0878,80.2785)","['u163', 'u167']","{'renewable_energy': 0.9, 'solar': 0.8}","{'text': 0.8, 'video': 0.7}","{'u163': 0.8, 'u167': 0.7}","{'renewable_energy': 0.9, 'solar': 0.8}","""Home solar panel installation experience""",5/22/2025 12:30,109.0,33.0,24.0,41.7,"['solar', 'renewable', 'energy']",text,390.0,"(13.0878,80.2785)",0.77,0.05,0.18,0.71
p064,u166,"(28.6139,77.2090)","['u164', 'u168']","{'perfumery': 0.8, 'fragrance': 0.9}","{'image': 0.7, 'text': 0.8}","{'u164': 0.9, 'u168': 0.6}","{'perfumery': 0.8, 'fragrance': 0.9}","""Creating signature scent at home""",5/25/2025 18:20,74.0,18.0,11.0,22.8,"['perfume', 'fragrance', 'diy']",image,260.0,"(28.6139,77.2090)",0.79,0.04,0.17,0.74
p065,u167,"(16.1027,81.7972)","['u165', 'u169']","{'quilting': 0.9, 'textiles': 0.8}","{'image': 0.9, 'video': 0.7}","{'u165': 0.7, 'u169': 0.8}","{'quilting': 0.9, 'textiles': 0.8}","""Grandmother's quilt pattern restoration""",5/24/2025 17:40,92.0,21.0,16.0,30.4,"['quilting', 'textiles', 'restoration']",image,190.0,"(16.1027,81.7972)",0.84,0.02,0.14,0.81
p036,u136,"(19.0760,72.8777)","['u134', 'u138']","{'technology': 0.9, 'ai': 0.8}","{'text': 0.8, 'video': 0.7}","{'u134': 0.7, 'u138': 0.9}","{'technology': 0.9, 'ai': 0.8}","""AI revolution in everyday applications""",5/25/2025 14:15,142.0,38.0,29.0,46.2,"['technology', 'ai', 'future']",text,395.0,"(19.0760,72.8777)",0.81,0.03,0.16,0.77
p037,u137,"(15.4909,73.8278)","['u135', 'u139']","{'journalism': 0.8, 'news': 0.9}","{'text': 0.9, 'image': 0.6}","{'u135': 0.8, 'u139': 0.7}","{'journalism': 0.9, 'news': 0.8}","""Breaking down fake news identification""",5/24/2025 11:20,93.0,27.0,15.0,34.5,"['journalism', 'fakenews', 'media']",text,340.0,"(15.4909,73.8278)",0.64,0.11,0.25,0.52
p038,u138,"(29.3117,79.5222)","['u136', 'u140']","{'photography': 0.9, 'wildlife': 0.8}","{'image': 0.9, 'video': 0.7}","{'u136': 0.9, 'u140': 0.6}","{'photography': 0.9, 'wildlife': 0.8}","""Rare bird species captured in morning light""",5/23/2025 5:45,198.0,31.0,24.0,28.9,"['photography', 'wildlife', 'birds']",image,190.0,"(29.3117,79.5222)",0.88,0.01,0.11,0.85
p039,u139,"(12.9716,77.5946)","['u137', 'u141']","{'robotics': 0.8, 'engineering': 0.9}","{'video': 0.8, 'text': 0.7}","{'u137': 0.7, 'u141': 0.8}","{'engineering': 0.9, 'robotics': 0.8}","""Building autonomous robot from scratch""",5/22/2025 16:30,87.0,22.0,17.0,39.1,"['robotics', 'engineering', 'diy']",video,450.0,"(12.9716,77.5946)",0.76,0.04,0.2,0.71
p040,u140,"(21.2787,81.8661)","['u138', 'u142']","{'theater': 0.9, 'drama': 0.8}","{'video': 0.9, 'audio': 0.7}","{'u138': 0.6, 'u142': 0.9}","{'theater': 0.9, 'drama': 0.8}","""Behind scenes of local theater production""",5/25/2025 19:45,76.0,18.0,11.0,25.3,"['theater', 'drama', 'backstage']",video,320.0,"(21.2787,81.8661)",0.83,0.02,0.15,0.8
